PLAYER,Mat,Inns,NO,Runs,Avg,BF,SR,100,50,4s,6s,BF(16-20),Runs(16-20),SR(16-20),BF(1-6),Runs(1-6),SR(1-6)
S Dhawan,159,158,21,4579,33.42,3669,124.8,0,37,524,96,197,320,162.44,2021,2404,118.95
DA Warner,126,126,17,4706,43.17,3305,142.39,4,44,458,181,175,336,192,1717,2319,135.06
CH Gayle,125,124,15,4484,41.13,2969,151.02,6,28,369,326,152,328,215.79,1743,2274,130.46
PA Patel,139,137,11,2848,22.6,2358,120.78,0,13,365,49,45,63,140,1631,1922,117.84
AM Rahane,140,132,16,3820,32.93,3133,121.92,2,27,404,74,222,347,156.31,1654,1896,114.63
RV Uthappa,177,170,17,4411,28.83,3380,130.5,0,24,435,156,217,378,174.19,1460,1762,120.68
V Kohli,177,169,26,5412,37.84,4112,131.61,5,36,480,191,420,862,205.24,1468,1658,112.94
SK Raina,193,189,28,5368,33.34,3914,137.14,1,38,493,194,369,630,170.73,1191,1555,130.56
M Vijay,103,103,5,2587,26.39,2106,122.83,2,13,243,91,44,74,168.18,1376,1546,112.35
SR Watson,134,130,15,3575,31.08,2562,139.53,4,19,343,177,156,292,187.18,1146,1280,111.69
RG Sharma,188,183,28,4898,31.6,3744,130.82,1,36,431,194,569,1135,199.47,882,985,111.68
Q de Kock,50,50,2,1456,30.33,1109,131.28,1,10,155,54,29,51,175.86,710,911,128.31
KL Rahul,67,58,11,1977,42.06,1431,138.15,1,16,176,81,140,266,190,623,844,135.47
MK Pandey,130,120,23,2843,29.3,2353,120.82,1,15,253,75,263,410,155.89,757,804,106.21
F du Plessis,71,64,5,1853,31.4,1462,126.74,0,12,163,59,85,157,184.71,619,802,129.56
CA Lynn,41,41,3,1280,33.68,910,140.65,0,10,128,63,22,30,136.36,539,775,143.78
SV Samson,93,89,9,2209,27.61,1696,130.24,2,10,170,89,149,307,206.04,620,706,113.87
AB de Villiers,154,142,32,4395,39.95,2906,151.23,3,33,357,212,453,1060,234,579,695,120.03
AT Rayudu,147,140,25,3300,28.69,2620,125.95,1,18,278,120,394,667,169.29,644,681,105.75
AJ Finch,75,65,7,1737,26.31,1329,130.69,0,13,176,67,126,203,161.11,591,673,113.87
JC Buttler,45,45,6,1386,35.53,919,150.81,0,9,140,61,93,151,162.37,411,651,158.39
SP Narine,110,57,13,771,17.52,458,168.34,0,3,93,44,52,48,92.31,352,645,183.24
MA Agarwal,77,72,3,1266,18.34,988,128.13,0,5,117,52,43,94,218.6,563,629,111.72
M Vohra,49,45,2,1012,23.53,768,131.77,0,3,97,39,18,36,200,503,622,123.66
WP Saha,120,95,21,1765,23.85,1346,131.12,1,6,160,59,251,412,164.14,461,618,134.06
Mandeep Singh,97,84,15,1529,22.15,1226,124.71,0,5,160,33,196,315,160.71,488,562,115.16
SS Iyer,62,62,7,1681,30.56,1324,126.96,0,13,149,67,84,151,179.76,516,549,106.4
KK Nair,69,63,4,1464,24.81,1139,128.53,0,10,158,39,100,195,195,414,503,121.5
RA Tripathi,34,33,4,758,26.13,552,137.31,0,4,74,27,44,64,145.45,282,417,147.87
P Shaw,25,25,0,598,23.92,424,141.03,0,4,72,19,11,18,163.64,299,415,138.8
KD Karthik,182,163,28,3654,27.06,2815,129.8,0,18,357,101,462,836,180.95,390,385,98.72
SPD Smith,81,72,18,2022,37.44,1568,128.95,1,8,180,49,281,487,173.31,292,357,122.26
N Rana,46,41,4,1085,29.32,806,134.61,0,8,84,60,60,119,198.33,219,244,111.42
KS Williamson,41,41,7,1302,38.29,964,135.06,0,12,111,44,107,176,164.49,224,240,107.14
RR Pant,54,54,6,1736,36.16,1067,162.69,1,11,152,94,141,333,236.17,180,235,130.56
GJ Maxwell,69,68,7,1397,22.9,867,161.13,0,6,109,91,86,145,168.6,191,235,123.04
Ishan Kishan,37,33,0,695,21.06,531,130.88,0,3,64,34,31,54,174.19,193,235,121.76
