PLAYER,Mat,Inns,NO,Runs,Avg,BF,SR,100,50,4s,6s,BF(16-20),Runs(16-20),SR(16-20),BF(1-6),Runs(1-6),SR(1-6),Big Score Index,Strike Rot.
DJ Hooda,61,45,9,524,14.55,412,127.18,0,1,27,21,125,188,150.4,10,1,10,0.022222222,0.796703297
CH Morris,61,40,20,517,27.21,328,157.62,0,2,37,27,204,359,175.98,7,18,257.14,0.05,0.784090909
V Shankar,33,29,11,557,30.94,416,133.89,0,2,34,24,123,217,176.42,30,24,80,0.068965517,0.773743017
BA Stokes,34,33,5,635,22.67,481,132.01,1,1,43,25,74,101,136.49,53,62,116.98,0.060606061,0.757869249
SPD Smith,81,72,18,2022,37.44,1568,128.95,1,8,180,49,281,487,173.31,281,356,126.69,0.125,0.752800597
DL Chahar,34,7,1,71,11.83,44,161.36,0,0,2,6,12,8,66.67,0,0,0,0,0.75
S Gill,27,24,9,499,33.26,377,132.36,0,4,43,15,69,98,142.03,108,124,114.81,0.166666667,0.742946708
DA Miller,79,77,23,1850,34.25,1333,138.78,1,9,126,87,317,593,187.07,64,61,95.31,0.12987013,0.735714286
MS Dhoni,190,170,65,4432,42.2,3215,137.85,0,23,297,209,1158,2203,190.24,50,40,80,0.135294118,0.734588409
KS Williamson,41,41,7,1302,38.29,964,135.06,0,12,111,44,107,176,164.49,218,235,107.8,0.292682927,0.734239802
MP Stoinis,29,25,10,473,31.53,364,129.94,0,1,34,18,152,244,160.53,42,43,102.38,0.04,0.733974359
RA Jadeja,170,128,48,1927,24.08,1572,122.58,0,0,135,65,511,719,140.7,38,45,118.42,0,0.726676385
AR Patel,82,63,21,796,18.95,630,126.34,0,0,47,35,241,355,147.3,11,11,100,0,0.726277372
AB de Villiers,154,142,32,4395,39.95,2906,151.23,3,33,357,212,453,1060,234,565,693,122.65,0.253521127,0.725288832
HV Patel,43,18,7,107,9.72,69,155.07,0,0,3,9,40,67,167.5,0,0,0,0,0.719298246
PJ Cummins,16,10,4,77,12.83,55,140,0,0,5,4,31,47,151.61,1,0,0,0,0.717391304
Washington Sundar,21,15,7,75,12.5,53,141.5,0,0,5,4,37,62,167.57,0,0,0,0,0.704545455
SN Khan,33,23,8,408,27.2,286,142.65,0,1,45,11,106,192,181.13,28,36,128.57,0.043478261,0.704347826
K Gowtham,22,17,5,144,12,83,173.49,0,0,10,10,46,94,204.35,4,8,200,0,0.698412698
SV Samson,93,89,9,2209,27.61,1696,130.24,2,10,170,89,149,307,206.04,606,702,115.84,0.134831461,0.692414753
SK Raina,193,189,28,5368,33.34,3914,137.14,1,38,493,194,369,630,170.73,1152,1546,134.2,0.206349206,0.691664084
KH Pandya,55,48,14,891,26.2,610,146.06,0,1,86,35,171,292,170.76,18,25,138.89,0.020833333,0.689161554
KD Karthik,182,163,28,3654,27.06,2815,129.8,0,18,357,101,462,836,180.95,381,385,101.05,0.110429448,0.687314383
RR Pant,54,54,6,1736,36.16,1067,162.69,1,11,152,94,141,333,236.17,171,229,133.92,0.222222222,0.686967113
WP Saha,120,95,21,1765,23.85,1346,131.12,1,6,160,59,251,412,164.14,446,610,136.77,0.073684211,0.684117125
F du Plessis,71,64,5,1853,31.4,1462,126.74,0,12,163,59,85,157,184.71,607,800,131.8,0.1875,0.683064516
SS Tiwary,81,64,19,1276,28.35,1067,119.58,0,7,93,45,236,343,145.34,147,151,102.72,0.109375,0.682454252
MK Pandey,130,120,23,2843,29.3,2353,120.82,1,15,253,75,263,410,155.89,733,804,109.69,0.133333333,0.681975309
V Kohli,177,169,26,5412,37.84,4112,131.61,5,36,480,191,420,862,205.24,1431,1653,115.51,0.24260355,0.681778553
HH Pandya,66,61,24,1068,28.86,690,154.78,0,3,72,68,346,639,184.68,35,25,71.43,0.049180328,0.676363636
Mohammad Nabi,13,10,1,135,15,91,148.35,0,0,11,7,53,86,162.26,1,6,600,0,0.671232877
DA Warner,126,126,17,4706,43.17,3305,142.39,4,44,458,181,175,336,192,1655,2309,139.52,0.380952381,0.670667667
KL Rahul,67,58,11,1977,42.06,1431,138.15,1,16,176,81,140,266,190,609,834,136.95,0.293103448,0.670357751
Mandeep Singh,97,84,15,1529,22.15,1226,124.71,0,5,160,33,196,315,160.71,474,562,118.57,0.05952381,0.66892546
J Bairstow,10,10,2,445,55.62,283,157.24,1,2,48,18,3,7,233.33,131,205,156.49,0.3,0.668202765
KM Jadhav,79,70,23,1079,22.95,853,126.49,0,4,92,38,299,435,145.48,79,66,83.54,0.057142857,0.668049793
DJ Bravo,134,102,38,1483,23.17,1156,128.28,0,5,116,61,395,733,185.57,110,123,111.82,0.049019608,0.66700715
RA Tripathi,34,33,4,758,26.13,552,137.31,0,4,74,27,44,64,145.45,272,415,152.57,0.121212121,0.66518847
AM Rahane,140,132,16,3820,32.93,3133,121.92,2,27,404,74,222,347,156.31,1610,1889,117.33,0.21969697,0.662900188
AT Rayudu,147,140,25,3300,28.69,2620,125.95,1,18,278,120,394,667,169.29,628,681,108.44,0.135714286,0.660666067
Gurkeerat Singh,33,30,3,440,18.33,342,128.65,0,2,47,11,89,162,182.02,37,35,94.59,0.066666667,0.654929577
P Negi,50,35,9,365,14.03,289,126.29,0,0,27,16,157,226,143.95,6,5,83.33,0,0.654471545
R Tewatia,20,20,6,111,18.5,89,124.71,0,0,11,3,44,68,154.55,3,4,133.33,0,0.653333333
SA Yadav,85,71,16,1548,28.14,1173,131.96,0,7,161,47,132,218,165.15,49,65,132.65,0.098591549,0.644559585
RG Sharma,188,183,28,4898,31.6,3744,130.82,1,36,431,194,569,1135,199.47,864,980,113.43,0.202185792,0.64443732
KA Pollard,148,135,39,2755,28.69,1877,146.77,0,14,181,176,714,1275,178.57,40,40,100,0.103703704,0.641447368
S Curran,9,8,4,95,23.75,55,172.72,0,1,13,3,29,65,224.14,10,20,200,0.125,0.641025641
JC Buttler,45,45,6,1386,35.53,919,150.81,0,9,140,61,93,151,162.37,396,640,161.62,0.2,0.640668524
KK Nair,69,63,4,1464,24.81,1139,128.53,0,10,158,39,100,195,195,405,503,124.2,0.158730159,0.634819533
S Gopal,31,20,5,127,14.11,118,107.62,0,0,14,1,63,82,130.16,4,0,0,0,0.631067961
R Ashwin,139,52,17,375,10.71,339,110.61,0,0,32,10,192,249,129.69,26,12,46.15,0,0.62962963
S Dhawan,159,158,21,4579,33.42,3669,124.8,0,37,524,96,197,320,162.44,1963,2396,122.06,0.234177215,0.625450968
GJ Maxwell,69,68,7,1397,22.9,867,161.13,0,6,109,91,86,145,168.6,184,234,127.17,0.088235294,0.622188906
RV Uthappa,177,170,17,4411,28.83,3380,130.5,0,24,435,156,217,378,174.19,1411,1757,124.52,0.141176471,0.622086769
S Dube,4,3,1,40,13.33,33,121.21,0,0,1,3,5,9,180,0,0,0,0,0.620689655
M Vohra,49,45,2,1012,23.53,768,131.77,0,3,97,39,18,36,200,479,620,129.44,0.066666667,0.617088608
SS Iyer,62,62,7,1681,30.56,1324,126.96,0,13,149,67,84,151,179.76,493,543,110.14,0.209677419,0.616425993
Rashid Khan,46,30,6,104,8.66,63,165.07,0,0,5,9,52,97,186.54,0,0,0,0,0.612244898
A Mishra,147,56,25,362,11.67,389,93.05,0,0,29,5,199,223,112.06,5,1,20,0,0.608450704
MR Marsh,20,15,2,225,18.75,196,114.79,0,0,9,14,71,98,138.03,0,0,0,0,0.606936416
EJG Morgan,52,45,5,854,21.35,705,121.13,0,4,72,34,133,211,158.65,138,126,91.3,0.088888889,0.604340568
M Vijay,103,103,5,2587,26.39,2106,122.83,2,13,243,91,44,74,168.18,1336,1545,115.64,0.145631068,0.603273138
R Parag,7,5,0,160,32,126,126.98,0,1,17,5,29,59,203.45,4,0,0,0.2,0.596153846
MA Agarwal,77,72,3,1266,18.34,988,128.13,0,5,117,52,43,94,218.6,540,627,116.11,0.069444444,0.593406593
P Shaw,25,25,0,598,23.92,424,141.03,0,4,72,19,11,18,163.64,291,407,139.86,0.16,0.588588589
N Rana,46,41,4,1085,29.32,806,134.61,0,8,84,60,60,119,198.33,208,241,115.87,0.195121951,0.587613293
R Singh,10,7,1,66,11,65,101.53,0,0,5,2,9,7,77.78,0,0,0,0,0.586206897
AJ Finch,75,65,7,1737,26.31,1329,130.69,0,13,176,67,126,203,161.11,577,673,116.64,0.2,0.581031308
M Ali,16,14,2,297,24.75,179,165.92,0,3,20,23,30,48,160,30,31,103.33,0.214285714,0.580882353
PP Chawla,157,81,32,584,11.91,524,111.45,0,0,54,18,303,383,126.4,13,15,115.38,0,0.575221239
